,Country Name,total
0,Afghanistan,4838089350.4
1,Albania,39985436208.1
2,Algeria,1996009881849.7
3,Angola,370131646674.3
4,Argentina,8809170983224.4
5,Armenia,52453514618.2
6,Azerbaijan,81131349462.5
7,Bangladesh,510736413099.5
8,Belarus,172232401779.3
9,Belize,51262985186.7
10,Benin,182794597783.9
11,Bhutan,15901142572.3
12,Bolivia,612823472912.9
13,Bosnia and Herzegovina,60993812417.5
14,Botswana,96482141647.0
15,Brazil,29495597889917.4
16,Bulgaria,
17,Burkina Faso,201467057895.2
18,Burundi,35379211969.0
19,Cabo Verde,10088640909.9
20,Cambodia,74899159997.5
21,Cameroon,574601218561.5
22,Central African Republic,16130343711.9
23,Chad,93004487145.7
24,China,3894776471890.2
25,Colombia,6800316072389.3
26,Comoros,5540413461.3
27,"Congo, Dem. Rep.",92361364934.5
28,"Congo, Rep.",241722778183.9
29,Costa Rica,913147645484.5
30,Cote d'Ivoire,1016173010611.7
31,Djibouti,61834397041.8
32,Dominica,2784485818.1
33,Dominican Republic,1180304731981.2
34,East Asia & Pacific (excluding high income),72439138029828.3
35,Ecuador,2622077751861.6
36,"Egypt, Arab Rep.",4494553688683.1
37,El Salvador,916716871817.3
38,Eritrea,4065400083.9
39,Eswatini,44917631102.4
40,Ethiopia,895429051479.0
41,Europe & Central Asia (excluding high income),65562032320991.1
42,Fiji,55530268816.9
43,Gabon,481879989678.3
44,"Gambia, The",26243116772.0
45,Georgia,75992945442.1
46,Ghana,1006511818973.2
47,Grenada,14208281781.5
48,Guatemala,825012647992.4
49,Guinea,189032344989.0
50,Guinea-Bissau,7471921202.8
51,Guyana,76383499672.3
52,Haiti,38944562714.1
53,Honduras,442993171496.8
54,IDA only,16324686094704.4
55,IDA total,28995963213379.0
56,India,18272464140649.4
57,Indonesia,18533606244687.8
58,"Iran, Islamic Rep.",
59,Iraq,59496459551.8
60,Jamaica,790494774010.7
61,Jordan,1008868196448.1
62,Kazakhstan,712837787886.4
63,Kenya,1307389835535.7
64,Kosovo,7735870990.3
65,Kyrgyz Republic,35703131106.0
66,Lao PDR,330180367723.6
67,Latin America & Caribbean (excluding high income),94895839428655.4
68,Least developed countries: UN classification,15517825506202.1
69,Lebanon,1754249734637.8
70,Lesotho,58810541969.1
71,Liberia,15125087760.8
72,Low & middle income,320393451599961.9
73,Low income,6153593769756.2
74,Lower middle income,105821092725320.6
75,Madagascar,161692004685.6
76,Malawi,95564666468.5
77,Maldives,26904018935.8
78,Mali,174733952916.3
79,Mauritania,205697777366.5
80,Mauritius,336397439347.8
81,Mexico,29555482102269.0
82,Middle East & North Africa (excluding high income),21333987389546.8
83,Middle income,314057837320100.9
84,Moldova,25856732253.0
85,Mongolia,107037621067.7
86,Montenegro,32640813317.7
87,Morocco,3125302357270.1
88,Mozambique,132377789714.2
89,Myanmar,476583365103.2
90,Nepal,203330086847.8
91,Nicaragua,399005638764.1
92,Niger,136225671558.9
93,Nigeria,1966875245116.8
94,North Macedonia,43517793290.3
95,Pakistan,4554316820808.1
96,Papua New Guinea,518770677730.5
97,Paraguay,549873749569.2
98,Peru,2793191800347.0
99,Philippines,5544571962496.1
100,Russian Federation,
101,Rwanda,109480052029.9
102,Samoa,7166311825.6
103,Sao Tome and Principe,
104,Senegal,574142234592.2
105,Serbia,440865892796.7
106,Sierra Leone,44285839524.6
107,Solomon Islands,2108653058.7
108,Somalia,2283589104.3
109,South Africa,
110,South Asia,27996213866183.0
111,Sri Lanka,1793839128961.6
112,St. Lucia,4331438369.9
113,St. Vincent and the Grenadines,10951718961.4
114,Sub-Saharan Africa (excluding high income),26439254547585.7
115,Sudan,277780520510.3
116,Syrian Arab Republic,
117,Tajikistan,25421981655.4
118,Tanzania,489623956566.7
119,Thailand,4929344430680.4
120,Timor-Leste,2782060190.0
121,Togo,78924230310.4
122,Tonga,894286794.8
123,Tunisia,1783010334549.9
124,Turkiye,16887365707283.1
125,Turkmenistan,
126,Uganda,342499979473.1
127,Ukraine,531806683304.4
128,Upper middle income,203138218782002.6
129,Uzbekistan,176550184331.9
130,Vanuatu,2094131462.6
131,Vietnam,482428971128.2
132,"Yemen, Rep.",50987456494.8
133,Zambia,497883668114.4
134,Zimbabwe,228657433799.6
135,,
136,Data from database: International Debt Statistics,
137,Last Updated: 12/06/2022,
